,timestamp,bpf_block_irq,bpf_net_rx_irq,bpf_net_tx_irq,cache_miss,cpu_cycles,cpu_instructions,platform_power,node_type,id
1161,1699530392,1.0,266.0,0,2118945.333333333,5024182975.666667,2336216922.333333,7.0,1.0,all containers
1162,1699530395,0.6666666666666666,255.66666666666666,0,1263308.3333333333,2079081311.3333333,1685639056.3333335,5.0,1.0,all containers
1163,1699530398,0.0,246.66666666666666,0,978314.0,2046825341.0,1237072328.6666667,4.0,1.0,all containers
1164,1699530401,0.0,221.33333333333334,0,791828.0,1834742440.0,1271986612.6666667,4.0,1.0,all containers
1165,1699530404,0.0,270.6666666666667,0,2148096.666666667,2551166273.3333335,2023346010.6666665,4.0,1.0,all containers
1166,1699530407,0.0,290.0,0,112833251.0,30348532059.0,18585326299.666664,80.0,1.0,all containers
1167,1699530410,0.3333333333333333,225.33333333333331,0,127564380.0,33620298017.0,20261580941.666668,114.0,1.0,all containers
1168,1699530413,0.3333333333333333,218.33333333333334,0,126685065.33333334,31887299640.333332,20137711916.333336,113.0,1.0,all containers
1169,1699530416,0.0,203.66666666666669,0,126072597.33333333,34241337208.0,21438596375.0,118.0,1.0,all containers
1170,1699530419,0.3333333333333333,242.0,0,127952974.00000001,32390943206.333336,19256472160.0,111.0,1.0,all containers
1171,1699530422,0.3333333333333333,206.33333333333334,0,126317368.66666667,33813021043.0,20211390833.333332,113.0,1.0,all containers
1172,1699530425,0.6666666666666666,225.66666666666666,0,127001305.33333333,33796966992.333332,20407595233.666668,115.0,1.0,all containers
1173,1699530428,0.0,238.66666666666666,0,128446217.0,32169300181.333336,20884035862.0,114.0,1.0,all containers
1174,1699530431,0.6666666666666666,211.33333333333334,0,126743268.33333333,34512202394.0,19613415016.0,114.0,1.0,all containers
1175,1699530434,0.3333333333333333,227.66666666666666,0,126562491.33333333,33091518611.666668,19746042031.333336,112.0,1.0,all containers
1176,1699530437,0.0,239.0,0,2514851.0,7205124514.333333,3180101004.0,9.0,1.0,all containers
1177,1699530440,1.0,291.66666666666663,0,1351728.3333333335,2052335508.6666667,1497783996.0,7.0,1.0,all containers
1178,1699530443,0.3333333333333333,219.0,0,836101.0,2408667117.3333335,1330022497.6666665,3.0,1.0,all containers
1179,1699530446,0.3333333333333333,236.66666666666669,0,882536.0,2040686073.0,1162761555.0,2.0,1.0,all containers
1180,1699530449,0.0,288.0,0,2369759.6666666665,2730872684.3333335,1702543146.3333335,4.0,1.0,all containers
1181,1699530452,0.6666666666666666,319.0,0,100373848.66666666,25810261865.333336,15173106659.666666,66.0,1.0,all containers
1182,1699530455,0.3333333333333333,290.3333333333333,0,116922003.0,30676848513.666664,17637873193.0,109.0,1.0,all containers
1183,1699530458,0.3333333333333333,288.0,0,122352964.0,32283458946.666664,18171049498.333332,113.0,1.0,all containers
1184,1699530461,0.3333333333333333,288.66666666666663,0,118153456.33333334,32319154433.666668,17288201734.666664,111.0,1.0,all containers
1185,1699530464,0.0,264.66666666666663,0,121952561.0,30634657729.333332,17949571373.333332,109.0,1.0,all containers
1186,1699530467,0.6666666666666666,272.3333333333333,0,121555828.0,33295175030.0,17837127859.666664,110.0,1.0,all containers
1187,1699530470,0.3333333333333333,279.3333333333333,0,122016913.33333334,30766610401.333336,17656341009.666668,111.0,1.0,all containers
1188,1699530473,0.3333333333333333,285.6666666666667,0,123980530.66666667,32193579191.333336,17734907056.333332,110.0,1.0,all containers
1189,1699530476,0.3333333333333333,253.66666666666669,0,123345849.33333333,32466114164.0,18003208813.666664,110.0,1.0,all containers
1190,1699530479,0.0,267.0,0,124020625.33333334,30510224188.666668,17828950527.333332,109.0,1.0,all containers
1191,1699530482,0.0,175.66666666666669,0,2858441.666666667,5418365387.666667,2635210458.333333,86.0,1.0,all containers
1192,1699530485,1.6666666666666667,305.66666666666663,0,2853653.0,2838626031.0,1484060877.6666665,7.0,1.0,all containers
1193,1699530488,0.3333333333333333,221.33333333333334,0,686816.0,1573072238.0,1459779044.6666667,3.0,1.0,all containers
1194,1699530491,0.0,229.66666666666666,0,877299.3333333334,2334004233.6666665,1083446720.3333335,4.0,1.0,all containers
1195,1699530494,0.0,236.33333333333334,0,1168638.6666666665,1829226223.6666667,1637379834.6666667,4.0,1.0,all containers
1196,1699530497,0.0,379.33333333333337,0,92130364.33333334,23642098691.666664,14921242937.0,88.0,1.0,all containers
1197,1699530500,0.6666666666666666,288.0,0,121807560.33333333,31454911106.666668,17333796419.333336,110.0,1.0,all containers
1198,1699530503,0.3333333333333333,286.3333333333333,0,122213341.33333333,32849157704.0,17228256234.333332,111.0,1.0,all containers
1199,1699530506,0.3333333333333333,326.0,0,121246012.33333333,30646743738.0,17740273558.333332,110.0,1.0,all containers
1200,1699530509,0.6666666666666666,279.66666666666663,0,122651566.66666667,32627275677.000004,18272327406.0,108.0,1.0,all containers
1201,1699530512,0.0,275.33333333333337,0,122218507.66666667,31735619758.666664,17957082142.0,109.0,1.0,all containers
1202,1699530515,0.0,274.99999999999994,0,125331584.33333333,32093217754.666668,18170947160.333332,110.0,1.0,all containers
1203,1699530518,0.3333333333333333,271.0,0,120119584.33333333,32241594584.333332,17128279036.666668,111.0,1.0,all containers
1204,1699530521,0.3333333333333333,260.3333333333333,0,121999912.33333333,30692655204.0,17374584183.0,114.0,1.0,all containers
1205,1699530524,0.3333333333333333,293.0,0,124634738.66666667,32521460209.666668,18034054058.0,112.0,1.0,all containers
1206,1699530527,0.3333333333333333,272.6666666666667,0,69566489.33333333,25831180116.333332,14225976691.666668,114.0,1.0,all containers
1207,1699530530,1.6666666666666667,302.3333333333333,0,1749824.3333333335,2235606977.9333334,1471939100.3333333,8.0,1.0,all containers
1208,1699530533,0.0,217.33333333333334,0,870109.6666666667,2014972730.6666667,1364917171.3333335,3.0,1.0,all containers
1209,1699530536,0.3333333333333333,223.66666666666666,0,770274.3333333334,2165013480.0,973833917.0,2.0,1.0,all containers
1210,1699530539,0.0,219.66666666666669,0,706020.3333333334,1925766136.3333333,1258144727.0,2.0,1.0,all containers
1211,1699530542,0.3333333333333333,302.3333333333333,0,3088104.666666667,6117459748.333334,3557496994.6666665,7.0,1.0,all containers
1212,1699530545,0.0,205.0,0,53891807.666666664,26931748608.333336,14177414825.0,58.0,1.0,all containers
