,timestamp,packge_ratio_package,bpf_cpu_time_us,bpf_page_cache_hit,cache_miss,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,cpu_cycles,cpu_instructions,kubelet_cpu_usage,kubelet_memory_bytes,package_power,core_power,uncore_power,dram_power,node_type,id
23,1699526978,1.0,2403.0,0.3333333333333333,1000044.6666666666,0.0,0.0,0.0,0.0,21631501246.666668,11268472932.333334,0.0,8192.0,30.79099999998774,0.0,0.0,1.1773333333330882,1.0,all containers
24,1699526981,1.0,2363.666666666667,0.0,709293.0,0.0,0.0,0.0,0.0,22019411469.666668,9969884115.0,0.0,34133.333333333336,30.016666666655503,0.0,0.0,0.9520000000023572,1.0,all containers
25,1699526984,1.0,2511.666666666667,0.6666666666666666,1872018.3333333335,0.0,0.0,0.0,0.0,22780810890.666668,9167947930.666668,0.0,0.0,34.85633333332225,0.0,0.0,1.4286666666691232,1.0,all containers
26,1699526987,1.0,1485.6666666666665,10.333333333333334,1831701.3333333335,206124.0,172032.0,0.0,206130.0,11715875782.0,4626637771.333334,0.0,6826.666666666667,13.062666666655169,0.0,0.0,0.9343333333357293,1.0,all containers
27,1699526990,1.0,1411.6666666666667,0.0,1016432.6666666667,8724.0,172032.0,1698.0,7026.0,2095661591.3333333,1165369011.6666667,0.6666666666666666,148821.3333333333,1.054666666655983,0.0,0.0,0.9993333333356418,1.0,all containers
28,1699526993,1.0,1411.0,0.3333333333333333,663764.6666666667,0.0,0.0,0.0,0.0,2026682192.3333335,1475684378.0,0.3333333333333333,465578.6666666666,0.6133333333200497,0.0,0.0,0.8040000000013094,1.0,all containers
29,1699526996,1.0,1390.0,4.333333333333333,858942.0,0.0,0.0,0.0,0.0,2213664864.6666665,1077685743.6666667,0.0,1365.3333333333333,1.466999999992062,0.0,0.0,1.4850000000030263,1.0,all containers
30,1699526999,1.0,1452.6666666666667,23.333333333333332,2161889.0,385716.0,638976.0,127362.0,258348.0,2207808430.3333335,1929756946.3333335,0.0,275797.3333333333,2.7563333333188567,0.0,0.0,0.8613333333366242,1.0,all containers
31,1699527002,1.0,3309.6666666666665,1.0,1188183.3333333333,0.0,0.0,0.0,0.0,23865151828.666668,12465384816.333334,2.3333333333333335,3376469.3333333335,37.876666666658515,0.0,0.0,1.250000000000007,1.0,all containers
32,1699527005,1.0,3317.666666666667,0.6666666666666666,946230.6666666667,0.0,0.0,0.0,0.0,24925827475.0,11479794838.666668,2.3333333333333335,15018.666666666668,37.591999999984786,0.0,0.0,0.8886666666706731,1.0,all containers
