timestamp,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,platform_power,node_type
1699531310,0.0,0.0,0.0,0.0,310.0,1
1699531313,0.0,0.0,0.0,0.0,313.0,1
1699531316,0.0,0.0,0.0,0.0,311.0,1
1699531319,0.0,0.0,0.0,0.0,312.0,1
1699531322,0.0,0.0,0.0,0.0,314.0,1
1699531325,0.0,0.0,0.0,0.0,311.0,1
1699531328,0.0,0.0,0.0,0.0,311.0,1
1699531331,0.0,0.0,0.0,0.0,311.0,1
1699531334,0.0,0.0,0.0,0.0,312.0,1
1699531337,226486.33333333334,0.0,103334.66666666667,123145.33333333333,221.0,1
1699531340,0.0,0.0,0.0,0.0,205.0,1
1699531343,13939.666666666666,25941.333333333332,3236.3333333333335,10703.333333333334,203.0,1
1699531346,0.0,0.0,0.0,0.0,203.0,1
1699531349,405181.3333333333,700416.0,167136.66666666666,238051.0,212.0,1
1699531352,0.0,0.0,0.0,0.0,276.0,1
1699531355,0.0,0.0,0.0,0.0,272.0,1
1699531358,0.0,0.0,0.0,0.0,275.0,1
1699531361,1794.0,0.0,420.0,1368.0,272.0,1
1699531364,0.0,0.0,0.0,0.0,274.0,1
1699531367,0.0,0.0,0.0,0.0,272.0,1
1699531370,0.0,0.0,0.0,0.0,268.0,1
1699531373,0.0,0.0,0.0,0.0,270.0,1
1699531376,0.0,0.0,0.0,0.0,271.0,1
1699531379,11106.0,0.0,2580.0,8526.0,275.0,1
1699531382,195267.6666666667,0.0,24961.666666666664,170311.6666666667,207.0,1
1699531385,0.0,0.0,0.0,0.0,203.0,1
1699531388,0.0,0.0,0.0,0.0,205.0,1
1699531391,0.0,0.0,0.0,0.0,203.0,1
1699531394,322529.6666666666,557056.0,98226.0,224298.0,227.0,1
1699531397,0.0,0.0,0.0,0.0,285.0,1
1699531400,0.0,0.0,0.0,0.0,288.0,1
1699531403,26872.333333333332,778240.0,69.66666666666666,26802.666666666668,291.0,1
1699531406,0.0,778240.0,0.0,0.0,286.0,1
1699531409,0.0,0.0,0.0,0.0,286.0,1
1699531412,0.0,0.0,0.0,0.0,285.0,1
1699531415,0.0,0.0,0.0,0.0,292.0,1
1699531418,0.0,0.0,0.0,0.0,291.0,1
1699531421,0.0,0.0,0.0,0.0,283.0,1
1699531424,57612.0,0.0,26868.0,30750.0,286.0,1
1699531427,159516.0,0.0,27144.0,132372.0,205.0,1
1699531430,0.0,0.0,0.0,0.0,203.0,1
1699531433,0.0,0.0,0.0,0.0,205.0,1
1699531436,75180.0,648533.3333333334,69582.0,5598.0,205.0,1
1699531439,17055192.666666664,4987562.666666666,4042743.3333333335,13012449.333333334,285.0,1
1699531442,0.0,0.0,0.0,0.0,339.0,1
1699531445,0.0,0.0,0.0,0.0,343.0,1
1699531448,0.0,0.0,0.0,0.0,346.0,1
1699531451,0.0,0.0,0.0,0.0,343.0,1
1699531454,0.0,0.0,0.0,0.0,344.0,1
1699531457,0.0,0.0,0.0,0.0,347.0,1
1699531460,2726.666666666667,0.0,633.3333333333334,2086.6666666666665,345.0,1
1699531463,30540.0,54613.33333333333,7120.0,23426.666666666664,347.0,1
1699531466,0.0,0.0,0.0,0.0,345.0,1
1699531469,67273.33333333333,0.0,52066.66666666667,15200.0,318.0,1
1699531472,171956.33333333334,0.0,2913.3333333333335,169043.0,208.0,1
1699531475,0.0,0.0,0.0,0.0,207.0,1
1699531478,0.0,0.0,0.0,0.0,205.0,1
1699531481,42224.333333333336,907946.6666666666,3648.0,38576.33333333333,203.0,1
1699531484,17138411.0,5006677.333333333,4028149.6666666665,13110267.666666666,261.0,1
1699531487,0.0,0.0,0.0,0.0,345.0,1
1699531490,0.0,0.0,0.0,0.0,346.0,1
1699531493,0.0,0.0,0.0,0.0,346.0,1
1699531496,0.0,0.0,0.0,0.0,344.0,1
1699531499,0.0,0.0,0.0,0.0,343.0,1
1699531502,0.0,0.0,0.0,0.0,343.0,1
1699531505,0.0,0.0,0.0,0.0,345.0,1
1699531508,0.0,0.0,0.0,0.0,344.0,1
1699531511,0.0,0.0,0.0,0.0,345.0,1
1699531514,72044.0,0.0,3101.0,68943.0,343.0,1
1699531517,174606.6666666667,0.0,72453.33333333333,102146.66666666666,206.0,1
1699531520,0.0,0.0,0.0,0.0,204.0,1
1699531523,16433.333333333332,791893.3333333333,3833.333333333333,12600.0,205.0,1
1699531526,0.0,791893.3333333333,0.0,0.0,205.0,1
1699531529,412086.6666666666,709973.3333333333,82166.66666666666,329926.6666666666,229.0,1
1699531532,0.0,0.0,0.0,0.0,339.0,1
1699531535,0.0,0.0,0.0,0.0,339.0,1
1699531538,0.0,0.0,0.0,0.0,340.0,1
1699531541,2634.0,0.0,612.0,2016.0,339.0,1
1699531544,0.0,0.0,0.0,0.0,339.0,1
1699531547,0.0,0.0,0.0,0.0,339.0,1
1699531550,0.0,0.0,0.0,0.0,342.0,1
1699531553,0.0,0.0,0.0,0.0,340.0,1
1699531556,0.0,0.0,0.0,0.0,339.0,1
1699531559,62406.0,0.0,22122.0,40290.0,337.0,1
1699531562,164293.6666666667,0.0,28815.0,135473.0,205.0,1
1699531565,0.0,0.0,0.0,0.0,204.0,1
1699531568,0.0,0.0,0.0,0.0,203.0,1
1699531571,0.0,0.0,0.0,0.0,203.0,1
1699531574,361210.3333333334,557056.0,54156.33333333333,307059.6666666666,281.0,1
1699531577,0.0,0.0,0.0,0.0,344.0,1
1699531580,0.0,0.0,0.0,0.0,338.0,1
1699531583,46556.333333333336,778240.0,45422.666666666664,1127.3333333333335,339.0,1
1699531586,0.0,778240.0,0.0,0.0,336.0,1
1699531589,0.0,0.0,0.0,0.0,341.0,1
1699531592,0.0,0.0,0.0,0.0,342.0,1
1699531595,0.0,0.0,0.0,0.0,341.0,1
1699531598,0.0,0.0,0.0,0.0,341.0,1
1699531601,0.0,0.0,0.0,0.0,340.0,1
1699531604,63713.333333333336,570709.3333333333,8657.666666666668,55055.666666666664,341.0,1
1699531607,161286.0,540672.0,52740.0,108546.0,206.0,1
1699531610,0.0,0.0,0.0,0.0,206.0,1
1699531613,0.0,0.0,0.0,0.0,205.0,1
1699531616,0.0,0.0,0.0,0.0,205.0,1
1699531619,390078.0,614400.0,134676.0,255408.0,221.0,1
1699531622,0.0,0.0,0.0,0.0,288.0,1
1699531625,0.0,0.0,0.0,0.0,286.0,1
1699531628,0.0,0.0,0.0,0.0,284.0,1
1699531631,0.0,0.0,0.0,0.0,283.0,1
1699531634,0.0,0.0,0.0,0.0,287.0,1
1699531637,0.0,0.0,0.0,0.0,286.0,1
1699531640,0.0,0.0,0.0,0.0,282.0,1
1699531643,21973.333333333336,39594.666666666664,0.0,21973.333333333336,286.0,1
1699531646,0.0,39594.666666666664,0.0,0.0,281.0,1
1699531649,66106.66666666667,39594.666666666664,28946.666666666664,37153.333333333336,282.0,1
1699531652,172786.0,39594.666666666664,50065.0,122727.33333333333,206.0,1
1699531655,0.0,0.0,0.0,0.0,205.0,1
1699531658,0.0,0.0,0.0,0.0,204.0,1
1699531661,74695.33333333334,804181.3333333334,72364.66666666666,2330.666666666667,209.0,1
1699531664,17268630.666666668,4902912.0,4052221.333333333,13216402.666666666,293.0,1
1699531667,0.0,0.0,0.0,0.0,306.0,1
1699531670,0.0,0.0,0.0,0.0,310.0,1
1699531673,0.0,0.0,0.0,0.0,312.0,1
1699531676,0.0,0.0,0.0,0.0,308.0,1
1699531679,0.0,0.0,0.0,0.0,310.0,1
1699531682,0.0,0.0,0.0,0.0,310.0,1
1699531685,0.0,0.0,0.0,0.0,310.0,1
1699531688,0.0,0.0,0.0,0.0,309.0,1
1699531691,0.0,0.0,0.0,0.0,309.0,1
1699531694,257673.3333333333,1037653.3333333333,63866.66666666667,193813.3333333333,308.0,1
1699531697,20920.0,1037653.3333333333,4886.666666666667,16033.333333333332,207.0,1
1699531700,0.0,0.0,0.0,0.0,205.0,1
1699531703,16780.0,0.0,0.0,16780.0,203.0,1
1699531706,430673.3333333334,709973.3333333333,47500.0,383173.3333333334,205.0,1
1699531709,0.0,709973.3333333333,0.0,0.0,383.0,1
1699531712,0.0,0.0,0.0,0.0,385.0,1
1699531715,0.0,0.0,0.0,0.0,387.0,1
1699531718,0.0,0.0,0.0,0.0,389.0,1
1699531721,1938.0,0.0,450.0,1482.0,382.0,1
1699531724,0.0,0.0,0.0,0.0,391.0,1
1699531727,0.0,0.0,0.0,0.0,389.0,1
1699531730,0.0,0.0,0.0,0.0,386.0,1
1699531733,0.0,0.0,0.0,0.0,391.0,1
1699531736,0.0,0.0,0.0,0.0,391.0,1
1699531739,193114.3333333333,0.0,66475.66666666667,126638.66666666666,243.0,1
1699531742,26185.666666666664,0.0,6114.333333333334,20071.333333333336,209.0,1
1699531745,0.0,0.0,0.0,0.0,207.0,1
1699531748,0.0,0.0,0.0,0.0,205.0,1
1699531751,342391.3333333334,626688.0,73547.66666666666,268843.6666666667,204.0,1
1699531754,0.0,0.0,0.0,0.0,366.0,1
1699531757,0.0,0.0,0.0,0.0,383.0,1
1699531760,0.0,0.0,0.0,0.0,389.0,1
1699531763,31046.0,0.0,7251.666666666667,23794.333333333332,387.0,1
1699531766,0.0,0.0,0.0,0.0,383.0,1
1699531769,0.0,0.0,0.0,0.0,385.0,1
1699531772,0.0,0.0,0.0,0.0,388.0,1
1699531775,0.0,0.0,0.0,0.0,389.0,1
1699531778,0.0,0.0,0.0,0.0,389.0,1
1699531781,0.0,0.0,0.0,0.0,387.0,1
1699531784,150006.0,0.0,19032.0,130974.0,315.0,1
1699531787,62202.0,0.0,14526.0,47682.0,209.0,1
1699531790,0.0,0.0,0.0,0.0,205.0,1
1699531793,0.0,0.0,0.0,0.0,205.0,1
1699531796,390096.0,626688.0,159936.0,230160.0,203.0,1
1699531799,0.0,626688.0,0.0,0.0,330.0,1
1699531802,0.0,0.0,0.0,0.0,383.0,1
1699531805,0.0,0.0,0.0,0.0,382.0,1
1699531808,0.0,0.0,0.0,0.0,381.0,1
1699531811,0.0,0.0,0.0,0.0,378.0,1
1699531814,0.0,0.0,0.0,0.0,382.0,1
1699531817,0.0,0.0,0.0,0.0,385.0,1
1699531820,0.0,0.0,0.0,0.0,384.0,1
1699531823,42580.0,54613.33333333333,42580.0,0.0,384.0,1
1699531826,0.0,54613.33333333333,0.0,0.0,386.0,1
1699531829,64669.666666666664,51882.666666666664,32844.66666666667,31818.666666666668,303.0,1
1699531832,171772.66666666666,51882.666666666664,29443.666666666668,142329.0,210.0,1
1699531835,0.0,0.0,0.0,0.0,205.0,1
1699531838,0.0,0.0,0.0,0.0,204.0,1
1699531841,233700.0,1249280.0,72250.66666666666,161449.33333333334,204.0,1
1699531844,17270057.333333332,5352106.666666667,4049198.0,13220859.0,303.0,1
1699531847,0.0,0.0,0.0,0.0,381.0,1
1699531850,0.0,0.0,0.0,0.0,377.0,1
1699531853,0.0,0.0,0.0,0.0,380.0,1
1699531856,0.0,0.0,0.0,0.0,378.0,1
1699531859,0.0,0.0,0.0,0.0,381.0,1
1699531862,0.0,0.0,0.0,0.0,382.0,1
1699531865,0.0,0.0,0.0,0.0,386.0,1
1699531868,0.0,0.0,0.0,0.0,382.0,1
1699531871,0.0,0.0,0.0,0.0,384.0,1
1699531874,64776.0,0.0,3360.0,61422.0,341.0,1
1699531877,151254.6666666667,0.0,14642.666666666668,136606.33333333334,213.0,1
1699531880,0.0,0.0,0.0,0.0,209.0,1
1699531883,14064.666666666668,0.0,3286.666666666667,10778.0,205.0,1
1699531886,35048.33333333333,255317.3333333333,2629.333333333333,32419.0,207.0,1
1699531889,17425932.333333332,4429141.333333334,4123192.0,13302746.0,232.0,1
