,timestamp,bpf_cpu_time_us,bpf_page_cache_hit,platform_power,node_type,id
209,1699527536,1326.0,25.333333333333332,12.0,1.0,all containers
210,1699527539,28756.333333333336,3.6666666666666665,94.0,1.0,all containers
211,1699527542,28890.666666666664,5.333333333333333,96.0,1.0,all containers
212,1699527545,28810.333333333332,1.3333333333333333,96.0,1.0,all containers
213,1699527548,28892.0,1.0,93.0,1.0,all containers
214,1699527551,28846.0,1.0,95.0,1.0,all containers
215,1699527554,28765.333333333332,5.333333333333333,96.0,1.0,all containers
216,1699527557,28808.666666666668,1.0,93.0,1.0,all containers
217,1699527560,28749.0,1.0,94.0,1.0,all containers
218,1699527563,28886.000000000004,5.666666666666667,94.0,1.0,all containers
219,1699527566,22631.0,31.333333333333332,95.0,1.0,all containers
220,1699527569,1441.3333333333335,5.0,0.0,1.0,all containers
221,1699527572,1442.0,2.6666666666666665,4.0,1.0,all containers
222,1699527575,1437.0,4.666666666666667,4.0,1.0,all containers
223,1699527578,1408.3333333333333,0.0,3.0,1.0,all containers
224,1699527581,1468.3333333333333,24.666666666666668,3.0,1.0,all containers
225,1699527584,5225.333333333333,4.333333333333333,59.0,1.0,all containers
226,1699527587,5212.666666666667,1.0,58.0,1.0,all containers
227,1699527590,5190.333333333333,0.6666666666666666,57.0,1.0,all containers
228,1699527593,5226.666666666667,4.666666666666667,63.0,1.0,all containers
229,1699527596,5191.0,0.3333333333333333,60.0,1.0,all containers
230,1699527599,5290.666666666666,0.0,59.0,1.0,all containers
231,1699527602,5202.0,1.6666666666666667,59.0,1.0,all containers
232,1699527605,5237.666666666667,5.0,58.0,1.0,all containers
233,1699527608,5195.0,1.0,59.0,1.0,all containers
234,1699527611,4068.0,6.333333333333334,59.0,1.0,all containers
235,1699527614,1438.3333333333333,7.666666666666667,4.0,1.0,all containers
236,1699527617,1437.0,0.0,2.0,1.0,all containers
237,1699527620,1399.0,1.0,3.0,1.0,all containers
238,1699527623,1421.3333333333333,1.6666666666666667,4.0,1.0,all containers
239,1699527626,5690.666666666666,29.0,27.0,1.0,all containers
240,1699527629,9008.333333333334,0.6666666666666666,87.0,1.0,all containers
