,timestamp,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,platform_power,node_type,id
109,1699527236,0.0,0.0,0.0,0.0,46.0,1.0,all containers
110,1699527239,0.0,0.0,0.0,0.0,44.0,1.0,all containers
111,1699527242,0.0,0.0,0.0,0.0,46.0,1.0,all containers
112,1699527245,0.0,0.0,0.0,0.0,43.0,1.0,all containers
113,1699527248,0.0,0.0,0.0,0.0,44.0,1.0,all containers
114,1699527251,0.0,0.0,0.0,0.0,44.0,1.0,all containers
115,1699527254,231933.0,0.0,0.0,231933.0,29.0,1.0,all containers
116,1699527257,23091.333333333332,0.0,23097.666666666668,0.0,3.0,1.0,all containers
117,1699527260,15668.666666666666,778240.0,15668.666666666666,0.0,1.0,1.0,all containers
118,1699527263,0.0,778240.0,0.0,0.0,2.0,1.0,all containers
119,1699527266,396549.0,622592.0,241515.33333333334,155027.3333333333,3.0,1.0,all containers
120,1699527269,0.0,0.0,0.0,0.0,44.0,1.0,all containers
121,1699527272,0.0,0.0,0.0,0.0,49.0,1.0,all containers
122,1699527275,0.0,0.0,0.0,0.0,45.0,1.0,all containers
123,1699527278,0.0,0.0,0.0,0.0,44.0,1.0,all containers
124,1699527281,0.0,0.0,0.0,0.0,46.0,1.0,all containers
125,1699527284,0.0,0.0,0.0,0.0,44.0,1.0,all containers
126,1699527287,0.0,0.0,0.0,0.0,45.0,1.0,all containers
127,1699527290,0.0,0.0,0.0,0.0,43.0,1.0,all containers
128,1699527293,0.0,0.0,0.0,0.0,44.0,1.0,all containers
129,1699527296,0.0,0.0,0.0,0.0,44.0,1.0,all containers
130,1699527299,176046.3333333333,0.0,62724.33333333333,113322.0,4.0,1.0,all containers
131,1699527302,33546.666666666664,0.0,20570.0,12982.333333333332,2.0,1.0,all containers
132,1699527305,0.0,0.0,0.0,0.0,2.0,1.0,all containers
133,1699527308,0.0,0.0,0.0,0.0,2.0,1.0,all containers
134,1699527311,364735.0,649898.6666666667,49566.33333333333,315168.6666666666,2.0,1.0,all containers
135,1699527314,0.0,0.0,0.0,0.0,16.0,1.0,all containers
136,1699527317,0.0,0.0,0.0,0.0,39.0,1.0,all containers
137,1699527320,17638.333333333336,0.0,3926.6666666666665,13705.333333333334,38.0,1.0,all containers
138,1699527323,0.0,0.0,0.0,0.0,38.0,1.0,all containers
139,1699527326,0.0,0.0,0.0,0.0,36.0,1.0,all containers
140,1699527329,0.0,0.0,0.0,0.0,37.0,1.0,all containers
141,1699527332,0.0,0.0,0.0,0.0,37.0,1.0,all containers
142,1699527335,0.0,0.0,0.0,0.0,38.0,1.0,all containers
143,1699527338,0.0,0.0,0.0,0.0,41.0,1.0,all containers
144,1699527341,0.0,0.0,0.0,0.0,39.0,1.0,all containers
145,1699527344,212874.0,0.0,66738.0,146136.0,0.0,1.0,all containers
146,1699527347,0.0,0.0,0.0,0.0,2.0,1.0,all containers
147,1699527350,0.0,0.0,0.0,0.0,0.0,1.0,all containers
148,1699527353,0.0,0.0,0.0,0.0,1.0,1.0,all containers
149,1699527356,363822.0,638976.0,47508.0,316320.0,7.0,1.0,all containers
150,1699527359,0.0,0.0,0.0,0.0,55.0,1.0,all containers
151,1699527362,0.0,0.0,0.0,0.0,54.0,1.0,all containers
152,1699527365,0.0,0.0,0.0,0.0,54.0,1.0,all containers
153,1699527368,0.0,0.0,0.0,0.0,54.0,1.0,all containers
154,1699527371,0.0,0.0,0.0,0.0,53.0,1.0,all containers
155,1699527374,0.0,0.0,0.0,0.0,56.0,1.0,all containers
156,1699527377,0.0,0.0,0.0,0.0,58.0,1.0,all containers
157,1699527380,19720.0,0.0,0.0,19713.333333333332,56.0,1.0,all containers
158,1699527383,0.0,0.0,0.0,0.0,56.0,1.0,all containers
159,1699527386,84846.66666666666,0.0,0.0,84853.33333333334,54.0,1.0,all containers
160,1699527389,159220.0,0.0,57462.333333333336,101751.33333333333,3.0,1.0,all containers
161,1699527392,1095.6666666666665,0.0,247.0,855.0,2.0,1.0,all containers
162,1699527395,0.0,0.0,0.0,0.0,2.0,1.0,all containers
163,1699527398,0.0,0.0,0.0,0.0,1.0,1.0,all containers
164,1699527401,349099.6666666667,726357.3333333334,118661.33333333333,230432.0,18.0,1.0,all containers
165,1699527404,0.0,0.0,0.0,0.0,85.0,1.0,all containers
166,1699527407,0.0,0.0,0.0,0.0,86.0,1.0,all containers
167,1699527410,0.0,0.0,0.0,0.0,87.0,1.0,all containers
168,1699527413,0.0,0.0,0.0,0.0,88.0,1.0,all containers
169,1699527416,0.0,0.0,0.0,0.0,81.0,1.0,all containers
170,1699527419,0.0,0.0,0.0,0.0,87.0,1.0,all containers
171,1699527422,0.0,0.0,0.0,0.0,87.0,1.0,all containers
172,1699527425,0.0,0.0,0.0,0.0,89.0,1.0,all containers
173,1699527428,0.0,0.0,0.0,0.0,88.0,1.0,all containers
174,1699527431,58374.0,0.0,1866.0,56514.0,65.0,1.0,all containers
175,1699527434,163693.0,0.0,65229.0,98458.33333333334,4.0,1.0,all containers
176,1699527437,0.0,0.0,0.0,0.0,5.0,1.0,all containers
177,1699527440,14495.333333333332,0.0,0.0,14495.333333333332,2.0,1.0,all containers
178,1699527443,0.0,0.0,0.0,0.0,3.0,1.0,all containers
179,1699527446,350052.6666666666,603477.3333333333,36419.66666666667,313638.6666666666,7.0,1.0,all containers
180,1699527449,0.0,0.0,0.0,0.0,101.0,1.0,all containers
181,1699527452,0.0,0.0,0.0,0.0,100.0,1.0,all containers
182,1699527455,0.0,0.0,0.0,0.0,101.0,1.0,all containers
183,1699527458,0.0,0.0,0.0,0.0,102.0,1.0,all containers
184,1699527461,0.0,0.0,0.0,0.0,101.0,1.0,all containers
185,1699527464,0.0,0.0,0.0,0.0,102.0,1.0,all containers
186,1699527467,0.0,0.0,0.0,0.0,98.0,1.0,all containers
187,1699527470,0.0,0.0,0.0,0.0,102.0,1.0,all containers
188,1699527473,0.0,0.0,0.0,0.0,94.0,1.0,all containers
189,1699527476,69736.33333333334,0.0,3768.3333333333335,65961.66666666666,95.0,1.0,all containers
190,1699527479,152814.0,0.0,39498.0,113316.0,1.0,1.0,all containers
191,1699527482,1296.0,0.0,288.0,1008.0,2.0,1.0,all containers
192,1699527485,0.0,0.0,0.0,0.0,4.0,1.0,all containers
193,1699527488,0.0,0.0,0.0,0.0,1.0,1.0,all containers
194,1699527491,372252.0,638976.0,43812.0,328440.0,35.0,1.0,all containers
195,1699527494,0.0,0.0,0.0,0.0,95.0,1.0,all containers
196,1699527497,0.0,0.0,0.0,0.0,97.0,1.0,all containers
197,1699527500,16000.0,81920.0,0.0,16006.666666666668,97.0,1.0,all containers
198,1699527503,0.0,81920.0,0.0,0.0,95.0,1.0,all containers
199,1699527506,0.0,0.0,0.0,0.0,95.0,1.0,all containers
200,1699527509,0.0,0.0,0.0,0.0,97.0,1.0,all containers
201,1699527512,0.0,0.0,0.0,0.0,95.0,1.0,all containers
202,1699527515,0.0,0.0,0.0,0.0,93.0,1.0,all containers
203,1699527518,0.0,0.0,0.0,0.0,93.0,1.0,all containers
204,1699527521,69946.66666666667,0.0,16000.0,53946.66666666667,95.0,1.0,all containers
205,1699527524,162855.33333333334,0.0,33262.66666666667,129586.33333333333,3.0,1.0,all containers
206,1699527527,0.0,0.0,0.0,0.0,3.0,1.0,all containers
207,1699527530,0.0,0.0,0.0,0.0,2.0,1.0,all containers
208,1699527533,0.0,0.0,0.0,0.0,1.0,1.0,all containers
209,1699527536,368948.3333333333,648533.3333333334,152367.3333333333,216587.33333333334,12.0,1.0,all containers
210,1699527539,0.0,0.0,0.0,0.0,94.0,1.0,all containers
211,1699527542,0.0,0.0,0.0,0.0,96.0,1.0,all containers
212,1699527545,0.0,0.0,0.0,0.0,96.0,1.0,all containers
213,1699527548,0.0,0.0,0.0,0.0,93.0,1.0,all containers
214,1699527551,0.0,0.0,0.0,0.0,95.0,1.0,all containers
215,1699527554,0.0,0.0,0.0,0.0,96.0,1.0,all containers
216,1699527557,0.0,0.0,0.0,0.0,93.0,1.0,all containers
217,1699527560,13758.0,0.0,0.0,13758.0,94.0,1.0,all containers
218,1699527563,0.0,0.0,0.0,0.0,94.0,1.0,all containers
219,1699527566,0.0,0.0,0.0,0.0,95.0,1.0,all containers
220,1699527569,227573.3333333333,0.0,90179.33333333334,137388.33333333334,0.0,1.0,all containers
221,1699527572,852.0,0.0,192.0,660.0,4.0,1.0,all containers
222,1699527575,0.0,0.0,0.0,0.0,4.0,1.0,all containers
223,1699527578,0.0,0.0,0.0,0.0,3.0,1.0,all containers
224,1699527581,365040.0,663552.0,197790.0,167256.0,3.0,1.0,all containers
225,1699527584,0.0,0.0,0.0,0.0,59.0,1.0,all containers
226,1699527587,0.0,0.0,0.0,0.0,58.0,1.0,all containers
227,1699527590,0.0,0.0,0.0,0.0,57.0,1.0,all containers
228,1699527593,0.0,0.0,0.0,0.0,63.0,1.0,all containers
229,1699527596,0.0,0.0,0.0,0.0,60.0,1.0,all containers
230,1699527599,0.0,0.0,0.0,0.0,59.0,1.0,all containers
231,1699527602,0.0,0.0,0.0,0.0,59.0,1.0,all containers
232,1699527605,0.0,0.0,0.0,0.0,58.0,1.0,all containers
233,1699527608,0.0,0.0,0.0,0.0,59.0,1.0,all containers
234,1699527611,58878.0,0.0,26982.0,31890.0,59.0,1.0,all containers
235,1699527614,146959.3333333333,0.0,56190.66666666667,90774.33333333334,4.0,1.0,all containers
236,1699527617,0.0,0.0,0.0,0.0,2.0,1.0,all containers
237,1699527620,12784.0,0.0,2856.0,9922.333333333332,3.0,1.0,all containers
238,1699527623,36266.66666666667,255317.3333333333,26440.666666666664,9831.666666666668,4.0,1.0,all containers
239,1699527626,14156302.666666666,4382720.0,3144884.0,11011418.666666666,27.0,1.0,all containers
240,1699527629,0.0,0.0,0.0,0.0,87.0,1.0,all containers
241,1699527632,0.0,0.0,0.0,0.0,87.0,1.0,all containers
242,1699527635,0.0,0.0,0.0,0.0,92.0,1.0,all containers
243,1699527638,0.0,0.0,0.0,0.0,94.0,1.0,all containers
244,1699527641,0.0,0.0,0.0,0.0,89.0,1.0,all containers
245,1699527644,0.0,0.0,0.0,0.0,93.0,1.0,all containers
246,1699527647,0.0,0.0,0.0,0.0,88.0,1.0,all containers
247,1699527650,0.0,0.0,0.0,0.0,90.0,1.0,all containers
248,1699527653,0.0,0.0,0.0,0.0,90.0,1.0,all containers
249,1699527656,188772.0,105130.66666666667,14232.0,174534.0,82.0,1.0,all containers
250,1699527659,44328.0,105130.66666666667,44328.0,0.0,5.0,1.0,all containers
251,1699527662,0.0,0.0,0.0,0.0,0.0,1.0,all containers
252,1699527665,0.0,0.0,0.0,0.0,3.0,1.0,all containers
253,1699527668,354324.0,614400.0,149838.0,204486.0,3.0,1.0,all containers
254,1699527671,0.0,0.0,0.0,0.0,132.0,1.0,all containers
255,1699527674,0.0,0.0,0.0,0.0,150.0,1.0,all containers
256,1699527677,0.0,0.0,0.0,0.0,150.0,1.0,all containers
257,1699527680,11873.333333333332,0.0,2660.0,9220.0,152.0,1.0,all containers
258,1699527683,0.0,0.0,0.0,0.0,150.0,1.0,all containers
259,1699527686,0.0,0.0,0.0,0.0,151.0,1.0,all containers
260,1699527689,0.0,0.0,0.0,0.0,150.0,1.0,all containers
261,1699527692,0.0,0.0,0.0,0.0,154.0,1.0,all containers
262,1699527695,0.0,0.0,0.0,0.0,152.0,1.0,all containers
263,1699527698,0.0,0.0,0.0,0.0,154.0,1.0,all containers
264,1699527701,235517.66666666666,0.0,34611.66666666667,200899.66666666666,13.0,1.0,all containers
265,1699527704,0.0,0.0,0.0,0.0,7.0,1.0,all containers
266,1699527707,0.0,0.0,0.0,0.0,4.0,1.0,all containers
267,1699527710,0.0,0.0,0.0,0.0,4.0,1.0,all containers
268,1699527713,369600.6666666667,674474.6666666666,126084.0,243523.0,5.0,1.0,all containers
269,1699527716,0.0,0.0,0.0,0.0,158.0,1.0,all containers
270,1699527719,0.0,0.0,0.0,0.0,162.0,1.0,all containers
271,1699527722,0.0,0.0,0.0,0.0,158.0,1.0,all containers
272,1699527725,0.0,0.0,0.0,0.0,162.0,1.0,all containers
273,1699527728,0.0,0.0,0.0,0.0,163.0,1.0,all containers
274,1699527731,0.0,0.0,0.0,0.0,165.0,1.0,all containers
275,1699527734,0.0,0.0,0.0,0.0,164.0,1.0,all containers
276,1699527737,0.0,0.0,0.0,0.0,164.0,1.0,all containers
277,1699527740,10698.0,0.0,2394.0,8304.0,164.0,1.0,all containers
278,1699527743,55602.0,0.0,20658.0,34944.0,165.0,1.0,all containers
279,1699527746,146086.6666666667,0.0,14025.0,132056.0,10.0,1.0,all containers
280,1699527749,0.0,0.0,0.0,0.0,7.0,1.0,all containers
281,1699527752,0.0,0.0,0.0,0.0,5.0,1.0,all containers
282,1699527755,0.0,0.0,0.0,0.0,3.0,1.0,all containers
283,1699527758,350919.6666666666,603477.3333333333,46500.66666666667,304419.0,5.0,1.0,all containers
284,1699527761,0.0,0.0,0.0,0.0,112.0,1.0,all containers
285,1699527764,0.0,0.0,0.0,0.0,168.0,1.0,all containers
286,1699527767,0.0,0.0,0.0,0.0,166.0,1.0,all containers
287,1699527770,0.0,0.0,0.0,0.0,169.0,1.0,all containers
288,1699527773,0.0,0.0,0.0,0.0,172.0,1.0,all containers
289,1699527776,0.0,0.0,0.0,0.0,169.0,1.0,all containers
290,1699527779,0.0,0.0,0.0,0.0,169.0,1.0,all containers
291,1699527782,0.0,0.0,0.0,0.0,170.0,1.0,all containers
292,1699527785,0.0,0.0,0.0,0.0,169.0,1.0,all containers
293,1699527788,0.0,0.0,0.0,0.0,171.0,1.0,all containers
294,1699527791,196866.0,0.0,54894.0,141978.0,6.0,1.0,all containers
295,1699527794,14832.0,0.0,0.0,14826.0,11.0,1.0,all containers
296,1699527797,0.0,0.0,0.0,0.0,6.0,1.0,all containers
297,1699527800,13776.0,0.0,804.0,12972.0,2.0,1.0,all containers
298,1699527803,371496.0,663552.0,85404.0,286092.0,0.0,1.0,all containers
299,1699527806,0.0,0.0,0.0,0.0,168.0,1.0,all containers
300,1699527809,0.0,0.0,0.0,0.0,170.0,1.0,all containers
301,1699527812,0.0,0.0,0.0,0.0,171.0,1.0,all containers
302,1699527815,0.0,0.0,0.0,0.0,170.0,1.0,all containers
303,1699527818,0.0,0.0,0.0,0.0,170.0,1.0,all containers
304,1699527821,0.0,0.0,0.0,0.0,174.0,1.0,all containers
305,1699527824,0.0,0.0,0.0,0.0,172.0,1.0,all containers
306,1699527827,0.0,0.0,0.0,0.0,172.0,1.0,all containers
307,1699527830,0.0,0.0,0.0,0.0,173.0,1.0,all containers
308,1699527833,0.0,0.0,0.0,0.0,173.0,1.0,all containers
309,1699527836,235093.33333333334,0.0,40432.0,194667.66666666666,11.0,1.0,all containers
310,1699527839,12552.666666666666,0.0,2805.6666666666665,9740.666666666666,8.0,1.0,all containers
311,1699527842,0.0,0.0,0.0,0.0,8.0,1.0,all containers
312,1699527845,0.0,0.0,0.0,0.0,4.0,1.0,all containers
313,1699527848,337671.0,580266.6666666667,85476.0,252200.6666666667,4.0,1.0,all containers
314,1699527851,14040710.333333334,4037290.6666666665,3141142.0,10899568.333333334,23.0,1.0,all containers
315,1699527854,0.0,0.0,0.0,0.0,28.0,1.0,all containers
316,1699527857,0.0,0.0,0.0,0.0,27.0,1.0,all containers
317,1699527860,16452.0,0.0,16452.0,0.0,27.0,1.0,all containers
318,1699527863,0.0,0.0,0.0,0.0,28.0,1.0,all containers
319,1699527866,0.0,0.0,0.0,0.0,31.0,1.0,all containers
320,1699527869,0.0,0.0,0.0,0.0,31.0,1.0,all containers
321,1699527872,0.0,0.0,0.0,0.0,32.0,1.0,all containers
322,1699527875,0.0,0.0,0.0,0.0,32.0,1.0,all containers
323,1699527878,77899.0,598016.0,28850.333333333336,49046.0,30.0,1.0,all containers
324,1699527881,172001.0,565248.0,5145.666666666666,166858.0,0.0,1.0,all containers
325,1699527884,0.0,0.0,0.0,0.0,6.0,1.0,all containers
