,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,mape,package_mae,core_mae,uncore_mae,dram_mae,package_mape,core_mape,uncore_mape,dram_mape,feature_group,power_range,mae_threshold
24,6,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",['poly_scaler.pkl'],DynPower,6.168879335261481,43840473864683.445,6.168879335261481,0.0,0.0,1.3087748285645004,56.08284808122917,0,0,43840473864683.445,CounterIRQCombined,149.64933333332493,29.929866666664985
25,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,7.954681650095069,114744600440424.14,7.954681650095069,0.0,0.0,1.5424395129173207,36.90864663166154,0,0,114744600440424.14,CounterIRQCombined,149.64933333332493,29.929866666664985
26,4,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,10.41390715027108,88.05505057056753,10.41390715027108,0.0,0.0,2.6294791759773566,115.8987958287276,0,0,88.05505057056753,CounterIRQCombined,149.64933333332493,29.929866666664985
27,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,11.617495035257084,53188990227840.63,11.617495035257084,0.0,0.0,2.0466735650160808,88.88292015347486,0,0,53188990227840.63,CounterIRQCombined,149.64933333332493,29.929866666664985
28,2,XgboostFitTrainer_1,xgboost,XgboostFitTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,4.099977427881713,77328020466551.3,4.099977427881713,1.3356274394027425e-05,1.3356274394027425e-05,0.9434890869199832,38.38876858887224,0,0,77328020466551.3,CounterOnly,149.64933333332493,29.929866666664985
29,3,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,4.131976809378843,41.360594468793295,4.131976809378843,0.0,0.0,0.8203697757392273,42.60461664557175,0,0,41.360594468793295,CounterOnly,149.64933333332493,29.929866666664985
30,5,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,4.41381414215619,61699476777102.97,4.41381414215619,0.0,0.0,1.2190771446681448,26.54970179487868,0,0,61699476777102.97,CounterOnly,149.64933333332493,29.929866666664985
31,6,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",['poly_scaler.pkl'],DynPower,6.999083004361468,69.33910980416167,6.999083004361468,0.0,0.0,1.3925305857170434,54.85027949100328,0,0,69.33910980416167,CounterOnly,149.64933333332493,29.929866666664985
32,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,7.813724281059479,78665525266168.66,7.813724281059479,0.0,0.0,1.2848273782143464,30.88145957338766,0,0,78665525266168.66,CounterOnly,149.64933333332493,29.929866666664985
33,4,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,11.56302203862638,170180331992677.56,11.56302203862638,0.0,0.0,2.0504692507232067,109.29858550120386,0,0,170180331992677.56,CounterOnly,149.64933333332493,29.929866666664985
34,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,12.351437299779164,131029311125613.12,12.351437299779164,0.0,0.0,2.5266599803581737,71.62335006970393,0,0,131029311125613.12,CounterOnly,149.64933333332493,29.929866666664985
35,3,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,27.766785168195245,188100373261815.25,27.766785168195245,0.0,0.0,5.407570591234059,486.9166143602879,0,0,188100373261815.25,KubeletOnly,149.64933333332493,29.929866666664985
36,2,XgboostFitTrainer_1,xgboost,XgboostFitTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,28.035387457229184,185494860352.78955,28.035387457229184,1.3356274394027425e-05,1.3356274394027425e-05,4.500415415147194,584.0581168590774,0,0,185494860352.78955,KubeletOnly,149.64933333332493,29.929866666664985
37,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,28.57047264194657,118653147284.78496,28.57047264194657,0.0,0.0,2.765762203229288,286.75688851751505,0,0,118653147284.78496,KubeletOnly,149.64933333332493,29.929866666664985
38,6,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",['poly_scaler.pkl'],DynPower,28.774298993777283,1080789058949.192,28.774298993777283,0.0,0.0,5.260911238528731,639.7451492736292,0,0,1080789058949.192,KubeletOnly,149.64933333332493,29.929866666664985
39,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,29.367570281504364,292964290003981.1,29.367570281504364,0.0,0.0,5.8299784344253744,686.172170117164,0,0,292964290003981.1,KubeletOnly,149.64933333332493,29.929866666664985
40,5,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,29.49643239731852,197228266816575.1,29.49643239731852,0.0,0.0,5.023748811212236,567.6343629002921,0,0,197228266816575.1,KubeletOnly,149.64933333332493,29.929866666664985
